Celebrity Name,Wikipedia Summary,Image URL,gender,profession
Alan Rickman,"Alan Sidney Patrick Rickman (21 February 1946 – 14 January 2016) was an English actor and director. Known for his distinctive deep, languid voice, he trained at the Royal Academy of Dramatic Art (RADA) in London and became a member of the Royal Shakespeare Company (RSC), performing in modern and classical theatre productions. He played the Vicomte de Valmont in the RSC stage production of Les Liaisons Dangereuses in 1985, and after the production transferred to the West End in 1986 and Broadway in 1987, he was nominated for a Tony Award.
Rickman's first film role came when he was cast as the German terrorist leader Hans Gruber in Die Hard (1988). He won the BAFTA Award for Best Actor in a Supporting Role for his role as the Sheriff of Nottingham in Robin Hood: Prince of Thieves (1991). He earned critical acclaim for Truly, Madly, Deeply (1991), An Awfully Big Adventure (1995), Sense and Sensibility (1995), and  Michael Collins (1996). He went on to play Severus Snape in the Harry Potter series (2001–2011). His other notable film roles include in Quigley Down Under (1990), Dogma (1999), Galaxy Quest (1999), Love Actually (2003), The Hitchhiker's Guide to the Galaxy (2005), Sweeney Todd: The Demon Barber of Fleet Street (2007), Alice in Wonderland (2010), its 2016 sequel, and Eye in the Sky (2015). He directed the films The Winter Guest (1997), and A Little Chaos (2014).
On television, Rickman made his acting debut playing Tybalt in Romeo and Juliet (1978) as part of the BBC's Shakespeare series. His breakthrough role was Obadiah Slope in the BBC adaptation of The Barchester Chronicles (1982). He later starred in television films, portraying Grigori Rasputin in the HBO film Rasputin: Dark Servant of Destiny (1996), which won him a Primetime Emmy Award, Golden Globe Award, and Screen Actors Guild Award and played Alfred Blalock in the HBO film Something the Lord Made (2004). In 2009, The Guardian named him one of the best actors never to have received an Academy Award nomination. Rickman died of pancreatic cancer on 14 January 2016 at age 69.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Alan_Rickman_at_BAM_-17.jpg/300px-Alan_Rickman_at_BAM_-17.jpg,male,English actor and director
Albert Brooks,"Albert Brooks (born Albert Lawrence Einstein; July 22, 1947) is an American actor, comedian, director and screenwriter. He received an Academy Award nomination for Best Supporting Actor for his performance in the 1987 comedy-drama film Broadcast News and was widely praised for his performance in the 2011 action drama film Drive. Brooks has also acted in films such as Taxi Driver (1976), Private Benjamin (1980), Unfaithfully Yours (1984), and My First Mister (2001). He has written, directed, and starred in several comedy films, such as Modern Romance (1981), Lost in America (1985), and Defending Your Life (1991). He is also the author of 2030: The Real Story of What Happens to America (2011).
Brooks has also voiced several characters in animated films and television shows. His voice acting roles include Marlin in Finding Nemo (2003) and its sequel Finding Dory (2016), Tiberius in The Secret Life of Pets (2016), and several one-time characters in The Simpsons, including Hank Scorpio in ""You Only Move Twice"" (1996) and Russ Cargill in The Simpsons Movie (2007).",https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Albert_Brooks_at_%27Drive%27_premiere_TIFF_9.10.11.jpg/300px-Albert_Brooks_at_%27Drive%27_premiere_TIFF_9.10.11.jpg,male,"American actor, comedian, director and screenwriter"
Albert Finney,"Albert Finney (9 May 1936 – 7 February 2019) was an English actor. He attended the Royal Academy of Dramatic Art and worked in the theatre before attaining fame for movie acting during the early 1960s, debuting with The Entertainer (1960), directed by Tony Richardson, who had previously directed him in theatre. He maintained a successful career in theatre, movies and television.
He is known for his roles in Saturday Night and Sunday Morning (1960), Tom Jones (1963), Two for the Road (1967), Scrooge (1970), Annie (1982), The Dresser (1983), Miller's Crossing (1990), A Man of No Importance (1994), Erin Brockovich (2000), Big Fish (2003), The Bourne Ultimatum (2007), Before the Devil Knows You're Dead (2007), and the James Bond movie Skyfall (2012).
A recipient of BAFTA, Golden Globe, Emmy, Screen Actors Guild, Silver Bear and Volpi Cup awards, Finney was nominated for an Academy Award five times, as Best Actor four times, for Tom Jones (1963), Murder on the Orient Express (1974), The Dresser (1983), and Under the Volcano (1984), and as Best Supporting Actor for Erin Brockovich (2000). He received several awards for his performance as Winston Churchill in the 2002 BBC–HBO television biographical movie The Gathering Storm.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Albert_Finney_1966.jpg/300px-Albert_Finney_1966.jpg,male,English actor
Alec Baldwin,"Alexander Rae Baldwin III (born April 3, 1958) is an American actor, comedian, and producer. He is known for his leading and supporting roles in a variety of genres, from comedy to drama, and has received numerous accolades including three Primetime Emmy Awards and three Golden Globe Awards as well as nominations for a Academy Award, a BAFTA Award, and Tony Award.
Baldwin first gained recognition by appearing on the sixth and seventh seasons of primetime soap opera Knots Landing (1984–1985). In the early part of his film career he played both leading and supporting roles in Beetlejuice (1988), Working Girl (1988), Married to the Mob (1988) and Glengarry Glen Ross (1992). He played Jack Ryan in The Hunt for Red October (1990). He received nominations for the Academy Award for Best Supporting Actor for The Cooler (2003) and a BAFTA Award for Best Supporting Actor for It's Complicated (2010). He has acted in the films The Royal Tenenbaums (2001), Along Came Polly (2004), The Aviator (2004), The Departed (2006), To Rome with Love (2012), Blue Jasmine (2013), Mission: Impossible – Rogue Nation (2015) and Mission: Impossible – Fallout (2018). He voiced the titular role in The Boss Baby film franchise (2017–2022).
From 2006 to 2013, Baldwin received critical acclaim starring alongside Tina Fey as Jack Donaghy on the NBC sitcom 30 Rock, winning two Primetime Emmy Awards, three Golden Globe Awards, and seven Screen Actors Guild Awards for Best Actor in a comedy series, making him the male performer with the most SAG Awards in history. Baldwin has received critical acclaim for his portrayal of Donald Trump on the NBC sketch series Saturday Night Live, a role that won him his third Primetime Emmy in 2017. He was nominated again in 2018 and 2021.Baldwin made his Broadway debut in Loot (1986). He portrayed Stanley Kowalski in the 1992 production of A Streetcar Named Desire for which he earned a Tony Award for Best Actor in a Play nomination. He returned to Broadway in Twentieth Century (2004) and Orphans (2013). He hosted the 82nd Academy Awards in 2010. He is also a columnist for The Huffington Post. He was the host of Match Game from 2016 until 2021.
In 2021, while on the Rust film set, Baldwin discharged a revolver used as a prop, which killed cinematographer Halyna Hutchins and injured director Joel Souza. Baldwin was charged with two counts of involuntary manslaughter in Santa Fe County, New Mexico in January 2023, but the charges were dropped in April 2023 pending further investigation. He was indicted again for the charge on January 19, 2024.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Alec_Baldwin_by_Gage_Skidmore.jpg/300px-Alec_Baldwin_by_Gage_Skidmore.jpg,male,"American actor, comedian, and producer"
Alex Pettyfer,"Alexander Richard Pettyfer (born 10 April 1990) is a British actor and model. He appeared in school plays and on television before being cast as Alex Rider, the main character in the 2006 film version of Stormbreaker. Pettyfer was nominated for a Young Artist Award and an Empire Award for his role.Pettyfer has been seen as a model in several advertising campaigns for Burberry and has starred in a number of other films, including I Am Number Four, Beastly, and Magic Mike. He starred as Brody in the Netflix science fiction miniseries The I-Land.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Alex_Pettyfer_2006_%28252479969%29_cropped.jpg/300px-Alex_Pettyfer_2006_%28252479969%29_cropped.jpg,male,British actor and model
Alexander Skarsgard,"Alexander Johan Hjalmar Skarsgård (Swedish: [alɛkˈsǎnːdɛr ˈskɑ̌ːʂɡoːɖ] ; born 25 August 1976) is a Swedish actor. Born in Stockholm, son of actor Stellan Skarsgård, he began acting at age seven but quit at 13. After serving in the Swedish Navy, Skarsgård returned to acting and gained his first role in the US comedy film Zoolander (2001). He played Brad Colbert in the miniseries Generation Kill (2008), and had his breakthrough for portraying vampire Eric Northman in the television series True Blood (2008–2014).
After appearing in films such as Melancholia (2011), Battleship (2012) and The Legend of Tarzan (2016), Skarsgård starred in the drama series Big Little Lies (2017–2019) as an abusive husband, which earned him a Primetime Emmy Award, a Golden Globe Award, a Critics' Choice Television Award, and a Screen Actors Guild Award. He went on to appear in the films Long Shot (2019), Godzilla vs. Kong (2021), Passing (2021), The Northman (2022), and Infinity Pool (2023), and played Randall Flagg in the miniseries The Stand (2020–2021) and tech mogul Lukas Matsson in the drama series Succession (2021–2023) for which he was nominated for two Primetime Emmy Awards and one Golden Globe Award.",,male,Swedish actor
Alexandra Daddario,"Alexandra Anna Daddario (born March 16, 1986) is an American actress. She had her breakthrough portraying Annabeth Chase in the Percy Jackson film series (2010–2013). She has since starred as Paige in Hall Pass (2011), Heather Miller in Texas Chainsaw 3D (2013), Blake Gaines in San Andreas (2015), Summer Quinn in Baywatch (2017), and Alexis Butler in We Summon the Darkness (2019). She has also guest starred in television series such as White Collar, It's Always Sunny in Philadelphia, True Detective, New Girl, Why Women Kill  and American Horror Story: Hotel. In 2021, she starred in the first season of the HBO series The White Lotus, for which she received critical acclaim and an Emmy nomination for Outstanding Supporting Actress in a Limited or Anthology Series or Movie in 2022. In 2023 she began playing the lead role of Dr. Rowan Fielding in the AMC series Mayfair Witches based on  a series of novels written by author Anne Rice.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Alexandra_Daddario_Dior_2022_03.jpg/300px-Alexandra_Daddario_Dior_2022_03.jpg,female,American actress
Alexis Thorpe,"Alexis Ann Thorpe (born April 19, 1980) is an American actress. She is best known for playing Rianna Miner on the soap opera The Young and the Restless, from 2000 to 2002, and Cassie Brady on the soap opera Days of Our Lives from 2002 to 2005.",,female,American actress
Ali Larter,"Alison Elizabeth Larter (born February 28, 1976) is an American actress. She portrayed fictional model Allegra Coleman in a 1996 Esquire magazine hoax and took on guest roles on several television shows in the 1990s. She made her film debut in Varsity Blues (1999), which was followed by the horror film House on Haunted Hill (1999). Her role as Clear Rivers in the first two films of the Final Destination franchise earned her a reputation as a scream queen.
Larter played supporting roles in the comedy Legally Blonde (2001) and the romantic comedy A Lot Like Love (2005), and led the Bollywood movie Marigold (2007) and the thriller Obsessed (2009). She played the dual roles of Niki Sanders and Tracy Strauss on the NBC science fiction drama Heroes (2006–2010), and achieved wider recognition for her portrayal of video game heroine Claire Redfield in the Resident Evil: Extinction (2007), Resident Evil: Afterlife (2010), and Resident Evil: The Final Chapter (2016).As of April 2017, Larter's films have grossed over US$1.31 billion worldwide. Her presence in the media is reinforced by her appearances in lists compiled by Maxim, FHM, and Stuff, as well as People magazine's ""Best Dressed List"" in 2007. She released her cookbook, Kitchen Revelry: A Year of Festive Menus from My Home to Yours, in September 2013.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Ali_Larter.jpg/300px-Ali_Larter.jpg,female,American actress
Alice Eve,"Alice Sophia Eve (born 6 February 1982) is a British actress. The daughter of actors Trevor Eve and Sharon Maughan, she began her career with supporting roles in the films Hawking and Stage Beauty (both 2004). Her other credits include Starter for 10 (2006), She's Out of My League (2010), Men in Black 3 (2012), Star Trek Into Darkness (2013), Before We Go (2014), Please Stand By (2017), Replicas (2018), and Bombshell (2019). On television, she has had recurring roles on HBO's Entourage (2011), Marvel's Iron Fist (2018), and Amazon Prime's The Power (2023).",https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Alice_Eve%2C_Men_in_Black_3%2C_2012.jpg/300px-Alice_Eve%2C_Men_in_Black_3%2C_2012.jpg,female,British actress
Alicia Vikander,"Alicia Amanda Vikander (, Swedish: [aˈlǐːsɪa vɪˈkǎnːdɛr] ; born 3 October 1988) is a Swedish actress. She is the recipient of various accolades, including an Academy Award, and nominations for two Golden Globe Awards and three British Academy Film Awards.
Born and raised in Gothenburg, Vikander began acting as a child in minor stage productions at the Gothenburg opera house and trained as a ballet dancer at the Royal Swedish Ballet in Stockholm. She began her acting career in Swedish short films and television series and first gained recognition for her role in the drama series Andra Avenyn (2008–2010). She made her feature film debut in Pure (2010), for which she won the Guldbagge Award for Best Actress. She gained wider recognition in 2012 for playing Kitty in Joe Wright's adaptation of Anna Karenina and Queen Caroline Mathilde in the Danish film A Royal Affair.
Vikander achieved global recognition for her roles as Vera Brittain in Testament of Youth (2014), a humanoid robot in Ex Machina (2014), for which she was nominated for the BAFTA Award for Best Actress in a Supporting Role, and Gerda Wegener in The Danish Girl (2015), for which she won the Academy Award for Best Supporting Actress. In 2016, Vikander was listed by Forbes in its 30 Under 30 list. She has since starred in the action film Jason Bourne (2016), the fantasy film The Green Knight (2021), and the miniseries Irma Vep (2022).",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Alicia_Vikander_-_Tokyo_International_Film_Festival_2019_%2849013506278%29_%28cropped%29.jpg/300px-Alicia_Vikander_-_Tokyo_International_Film_Festival_2019_%2849013506278%29_%28cropped%29.jpg,female,Swedish actress
Amanda Bynes,"Amanda Laura Bynes (born April 3, 1986) is an American former actress. Bynes began her career as a child actress, appearing on the Nickelodeon sketch comedy series All That (1996–2000) and its spin-off series The Amanda Show (1999–2002). During her mid-teens, Bynes played Holly Tyler in WB Television Network sitcom What I Like About You (2002–2006) and made her film debut in the comedy Big Fat Liar (2002). She went on to star in a number of successful films, including What a Girl Wants (2003), Robots (2005), She's the Man (2006), Hairspray (2007), and Easy A (2010).Bynes is heralded for her work in the 1990s and 2000s. In her highly publicized personal life, she has struggled with mental health and other issues, and was in a conservatorship from August 2013 to March 2022. She retired from acting in 2010, and in 2023, she announced her new career as a manicurist.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Amanda_Bynes_2009.jpg/300px-Amanda_Bynes_2009.jpg,female,American former actress
Amanda Crew,"Amanda Crew (born June 5, 1986) is a Canadian actress. Following her film debut in Final Destination 3 (2006), Crew had lead roles in films such as Sex Drive (2008), Charlie St. Cloud, Repeaters (both 2010), Charlie Zone (2011), Ferocious (2013), Chokeslam (2016), Freaks (2018), and Tone-Deaf (2019). She is known for her lead roles as Carrie Miller on the CTV teen drama series Whistler (2006–2008) and Monica Hall on the HBO comedy series Silicon Valley (2014–2019).",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Amanda_Crew_2010.jpg/300px-Amanda_Crew_2010.jpg,female,Canadian actress
